app_id,platform,captured_on,stars_5,stars_4,stars_3,stars_2,stars_1,displayed_string
A-81,ANDROID,2026-08-11,337,165,36,35,27,4.3 out of 600 Ratings
A-81,IOS,2026-08-12,834,301,108,56,1,"4.4 out of 1,300 Ratings"
A-82,ANDROID,2026-08-15,186,65,49,8,72,3.8 out of 380 Ratings
A-82,IOS,2026-08-18,488,182,89,54,27,4.2 out of 840 Ratings
A-83,ANDROID,2026-08-19,625,139,89,28,19,4.5 out of 900 Ratings
A-84,ANDROID,2026-08-22,748,166,106,49,31,"4.4 out of 1,100 Ratings"
A-83,IOS,2026-08-23,230,127,55,19,89,3.7 out of 520 Ratings
A-85,ANDROID,2026-08-26,305,115,57,11,32,4.2 out of 520 Ratings
A-86,ANDROID,2026-08-29,203,112,20,22,83,3.8 out of 440 Ratings
A-84,IOS,2026-08-31,1351,381,249,116,3,"4.4 out of 2,100 Ratings"
A-87,ANDROID,2026-09-02,1081,227,74,52,66,"4.5 out of 1,500 Ratings"
A-86,IOS,2026-09-03,256,129,44,19,12,4.3 out of 460 Ratings
A-88,ANDROID,2026-09-04,503,201,37,39,20,4.4 out of 800 Ratings
A-89,ANDROID,2026-09-05,154,75,16,28,67,3.6 out of 340 Ratings
A-85,IOS,2026-09-06,323,201,84,23,69,3.9 out of 700 Ratings
A-90,ANDROID,2026-09-08,195,70,27,16,92,3.6 out of 400 Ratings
A-91,IOS,2026-09-08,675,205,60,35,25,"4.4 out of 1,000 Ratings"
